Serial No.,College Name,Department,Location
561,Sushant University,"Sushant University, School Of Engineering and Technology - [SOET]","Gurgaon, Haryana"
561,Sushant University,Sushant School of Design - [SSD],"Gurgaon, Haryana"
562,William Carey University - [WCU],No data found,No data found
563,Career Point University - [CPU],No data found,No data found
564,SRMIST Delhi NCR Campus,No data found,No data found
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",No data found,No data found
566,K.S. School of Engineering and Management- [KSSEM],No data found,No data found
567,Vivekananda Institute of Technology - [VIT],No data found,No data found
568,PERI Institute of Technology - [PERIT],No data found,No data found
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,No data found,No data found
570,Adhiparasakthi College of Engineering Arcot - [APCE],No data found,No data found
571,SRM Institute of Science and Technology Ramapuram Campus,No data found,No data found
572,St. Andrews Institute of Technology and Management - [SAITM],No data found,No data found
573,CMR Technical Campus - [CMRTC],No data found,No data found
574,"SRM, Institute of Technology",No data found,No data found
575,"University College of Engineering, JNTUK",No data found,No data found
576,St.Joseph's Institute of Technology - [SJIT],No data found,No data found
577,Ramco Institute of Technology - [RIT],No data found,No data found
578,ITM Vocational University - [ITMVU],No data found,No data found
579,"Greater Noida Institute of Technology, IPU - [GNIT]",No data found,No data found
580,Netaji Subhas University - [NSU],No data found,No data found
581,Greater Noida Institute of Technology (Engineering Institute),No data found,No data found
582,Arunodaya University,No data found,No data found
583,Shri Guru Ram Rai University - [SGRRU],No data found,No data found
584,JSS Academy of Technical Education - [JSSATE],No data found,No data found
585,SDM College of Engineering and Technology - [SDMCET],No data found,No data found
586,Jagdishprasad Jhabarmal Tibrewala University - [JJTU],No data found,No data found
587,Jawaharlal Nehru Engineering College - [JNEC],No data found,No data found
588,Mohamed Sathak Engineering College - [MSEC],No data found,No data found
589,AVS Engineering College - [AVSEC],No data found,No data found
590,Ahmedabad Institute of Technology,No data found,No data found
591,Amritsar College of Engineering and Technology - [ACET],No data found,No data found
592,Anand International College of Engineering,No data found,No data found
593,M H Saboo Siddik College of Engineering - [MHSSCOE],No data found,No data found
594,Aurangabad College of Engineering - [ACE],No data found,No data found
595,Drs. Kiran and Pallavi Patel Global University,No data found,No data found
596,Cambridge Institute of Technology - [CIT],No data found,No data found
597,Coimbatore Institute of Engineering and Technology - [CIET],No data found,No data found
598,College of Engineering Thalassery,No data found,No data found
599,D. Y. Patil College of Engineering,No data found,No data found
600,Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH],No data found,No data found
601,East Point Group of Institutions - [EPGI],No data found,No data found
602,GITA Autonomous College - [GITA College],No data found,No data found
603,Global Institute of Technology - [GIT],No data found,No data found
604,Godavari Global University - [GGU],No data found,No data found
605,Guru Nanak Dev Engineering College - [GNDEC],No data found,No data found
606,IFET College of Engineering - [IFET],No data found,No data found
607,KMCT College of Engineering,No data found,No data found
608,KPR Institute of Engineering & Technology - [KPRIET],No data found,No data found
609,Kathir College of Engineering,No data found,No data found
610,Lakireddy Bali Reddy College of Engineering - [LBRCE],No data found,No data found
611,MEA Engineering College- [MEAEC],No data found,No data found
612,M. Kumarasamy College of Engineering - [MKCE],No data found,No data found
613,Mahaveer Institute of Science and Technology- [MIST],No data found,No data found
614,Mailam Engineering College,No data found,No data found
615,Manakula Vinayagar Institute of Technology - [MVIT],No data found,No data found
616,Marthandam College of Engineering and Technology - [MACET],No data found,No data found
617,PA College of Engineering - [PACE],No data found,No data found
618,Rajagiri School of Engineering & Technology - [RSET],No data found,No data found
619,Sahrdaya College of Engineering - [SCE] Kodakara,No data found,No data found
620,Sanjivani College of Engineering,No data found,No data found
621,Saroj Mohan Institute of Technology - [SMIT],No data found,No data found
622,Seemanta Engineering College,No data found,No data found
623,Sengunthar Engineering College,No data found,No data found
624,Shivani Engineering College - [SEC],No data found,No data found
625,Sri Venkateshwara College of Engineering - [SVCE],No data found,No data found
626,Swami Vivekananda Institute of Technology - [SVIT],No data found,No data found
627,TKR College of Engineering and Technology - [TKRCET],No data found,No data found
628,Trinity College of Engineering,No data found,No data found
629,APS College of Engineering - [APS],No data found,No data found
630,College of Engineering - [COER],No data found,No data found
631,Park College of Engineering and Technology - [PCET],No data found,No data found
632,"University Institute of Information Technology, Himachal Pradesh University - [UIIT]",No data found,No data found
633,GD Goenka University - [GDGU],No data found,No data found
634,NIILM University,No data found,No data found
635,IEC University Baddi - [ICEU],No data found,No data found
636,ITM (SLS) Baroda University,No data found,No data found
637,ISL Engineering College - [ISLEC],No data found,No data found
638,Trident Academy of Technology,No data found,No data found
639,Maulana Azad University,No data found,No data found
640,Himalayan University - [HU],No data found,No data found
641,People's University,"School of Research & Technology, People's University - [SORT]","Bhopal, Madhya Pradesh"
641,People's University,"School of Pharmacy & Research, People's University","Bhopal, Madhya Pradesh"
642,Amrita School of Engineering - [ASE],No data found,No data found
643,Ganga Group of Institutions - [GGI],No data found,No data found
644,RajaRajeswari College of Engineering - [RRCE],No data found,No data found
645,Sri Manakula Vinayagar Engineering College - [SVMEC],No data found,No data found
646,International Institute of Technology and Management - [IITM],No data found,No data found
647,Shobhit University,"Shobhit University, Adarsh Vijendra Institute of Pharmaceutical Sciences - [AVIPS]","Saharanpur, Uttar Pradesh"
648,Maharishi University of Information Technology - [MUIT],No data found,No data found
649,Vidya Knowledge Park - [VKP],No data found,No data found
650,Jaypee University Anoopshahr,No data found,No data found
651,St.Joseph University,No data found,No data found
652,Rishihood University,No data found,No data found
653,Sarala Birla University - [SBU],No data found,No data found
654,Radha Govind University - [RGU],No data found,No data found
655,Kavikulguru Institute of Technology and Science - [KITS],No data found,No data found
656,Stanley College of Engineering and Technology for Women - [SCETW],No data found,No data found
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,No data found,No data found
658,Anand Engineering College - [AEC],No data found,No data found
659,Andhra Loyola Institute of Engineering - [ALIET],No data found,No data found
660,Baba Banda Singh Bahadur Engineering College - [BBSBEC],No data found,No data found
661,Bangalore College of Engineering and Technology-[BCET],No data found,No data found
662,Bankura Unnayani Institute of Engineering - [BUIE],No data found,No data found
663,Chadalawada Ramanamma Engineering College - [CREC],No data found,No data found
664,Chettinad College of Engineering and Technology - [CCET],No data found,No data found
665,"College of Engineering And Management, Kolaghat",No data found,No data found
666,DAV Institute of Engineering and Technology - [DAVIET],No data found,No data found
667,Dhanalakshmi Srinivasan Engineering College - [DSEC],No data found,No data found
668,Ellenki College of Engineering and Technology - [ECET],No data found,No data found
669,GKM College of Engineering and Technology - [GKMCET],No data found,No data found
670,G L Bajaj Institute of Technology and Management,No data found,No data found
671,Karpagam Institute of Technology,No data found,No data found
672,Kongunadu College of Engineering and Technology - [KNCET],No data found,No data found
673,MBM Engineering College - [MBM],No data found,No data found
674,Mookambigai College of Engineering,No data found,No data found
675,Ponjesly College of Engineering - [PCE],No data found,No data found
676,Rajadhani Institute of Engineering and Technology - [RIET] Attinga,No data found,No data found
677,Ramachandra College of Engineering - [RCE],No data found,No data found
678,Roorkee Institute of Technology - [RIT],No data found,No data found
679,SCMS School of Engineering and Technology [SSET],No data found,No data found
680,SIES Graduate School of Technology - [SIES-GST],No data found,No data found
681,SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,No data found,No data found
682,Sapthagiri NPS University,No data found,No data found
683,Saroj Institute of Technology and Management - [SITM],No data found,No data found
684,Sasurie College of Engineering - [SCE],No data found,No data found
685,Selvam College of Technology - [SCT],No data found,No data found
686,Shivalik College of Engineering - [SCE],No data found,No data found
687,Silver Oak College of Engineering and Technology - [SOCET],No data found,No data found
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,No data found,No data found
689,Sree Buddha College of Engineering Pattoor - [SBCE],No data found,No data found
690,Sree Narayana Gurukulam College of Engineering - [SNGCE],No data found,No data found
691,Sree Sastha Institute of Engineering and Technology,No data found,No data found
692,Sri Siddhartha Institute of Technology - [SSIT],No data found,No data found
693,Tamilnadu College of Engineering - [TNCE],No data found,No data found
694,Thangavelu Engineering College,No data found,No data found
695,Hyderabad Institute of Technology and Management - [HITAM],No data found,No data found
696,Vemu Institute of Technology - [VEMU],No data found,No data found
697,Kalaignar karunanidhi Institute of Technology - [KIT],No data found,No data found
698,Patel College of Science and Technology - [PCST],No data found,No data found
699,Career Point University - [CPU],No data found,No data found
700,Sri Sai University - [SSU],No data found,No data found
701,Sri Guru Granth Sahib World University - [SGGSWU],No data found,No data found
702,Sir Padampat Singhania University - [SPSU],No data found,No data found
703,Vinayaka Missions University - [VMU],"Faculty of Engineering and Technology, Vinayaka Mission University","Salem, Tamil Nadu"
703,Vinayaka Missions University - [VMU],"School of Allied Health Science, Vinayaka Mission Research Foundation","Salem, Tamil Nadu"
704,Jyothy Institute of Technology - [JIT],No data found,No data found
705,College of Engineering Perumon,No data found,No data found
706,Sreyas Institute of Engineering and Technology - [SIET],No data found,No data found
707,Delhi Institute of Tool Engineering - [DITE],No data found,No data found
708,K. C. College of Engineering And Management Studies And Research,No data found,No data found
709,Vi Institute of Technology - [VIIT],No data found,No data found
710,Birla Institute of Technology Extension Centre - [BIT],No data found,No data found
711,A. P. Shah Institute of Technology - [APSIT],No data found,No data found
712,Vidyavardhini's College of Engineering and Technology - [VCET],No data found,No data found
713,Vimal Jyothi Engineering College - [VJEC],No data found,No data found
714,K. Ramakrishnan College of Engineering -[KRCE],No data found,No data found
715,Ganga Technical Campus - [GTC],No data found,No data found
716,Pratap University - [PU],No data found,No data found
717,Girijananda Chowdhury Institute of Management & Technology - [GIMT],No data found,No data found
718,"GIET Engineering College, Rajahmundhry",No data found,No data found
719,"GIET College of Engineering, Rajahmundhry",No data found,No data found
720,Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT],No data found,No data found
721,Narsimha Reddy Engineering College - [NRCM],No data found,No data found
722,KGISL Institute of Technology - [KITE],No data found,No data found
723,Jai Parkash Mukand Lal Innovative Engineering & Technology Institute - [JMIETI],No data found,No data found
724,SAL College of Engineering - [SCE],No data found,No data found
725,OP Jindal University - [OPJU],OP Jindal University School Of Engineering - [OPJU],"Raigarh, Chhattisgarh"
726,Rajkiya Engineering College - [REC],No data found,No data found
727,Gopal Narayan Singh University - [GNSU],No data found,No data found
728,Shyam University,No data found,No data found
729,KIPM College of Engineering and Technology - [KIPM],No data found,No data found
730,Chalapathi Institute of Engineering and Technology - [CIET],No data found,No data found
731,KKR & KSR Institute of Technology and Sciences - [KITS],No data found,No data found
732,Kallam Haranadhareddy Institute of Technology - [KHIT],No data found,No data found
733,Vikrant University,No data found,No data found
734,JIS University,No data found,No data found
735,Renaissance University - [RU],No data found,No data found
736,OmDayal Group of Institutions,No data found,No data found
737,A.V.C College of Engineering - [AVCCE],No data found,No data found
738,AWH Engineering College,No data found,No data found
739,Aarupadai Veedu Institute of Technology - [AVIT],No data found,No data found
740,Abacus Institute of Engineering and Management,No data found,No data found
741,Akshaya College of Engineering and Technology-[ACET],No data found,No data found
742,Al Ameen Engineering College,No data found,No data found
743,Rajadhani Institute of Science and Technology - [RIST],No data found,No data found
744,Amrutvahini College of Engineering - [AVCOE],No data found,No data found
745,Arasu Engineering College - [AEC],No data found,No data found
746,Arya College of Engineering and IT - [ACEIT],No data found,No data found
747,Bapuji Institute of Engineering and Technology - [BIET],No data found,No data found
748,Cape Institute of Technology - [CAPE],No data found,No data found
749,Dhanalakshmi College of Engineering - [DCE],No data found,No data found
750,Dhirajlal Gandhi College of Technology,No data found,No data found
751,Dronacharya College of Engineering - [DCE],No data found,No data found
752,EGS Pillay Engineering College,No data found,No data found
753,Einstein College of Engineering,No data found,No data found
754,Eswar College of Engineering,No data found,No data found
755,G Narayanamma Institute of Technology and Science - [GNITS],No data found,No data found
756,Ghousia College of Engineering - [GCE],No data found,No data found
757,Global Institute of Engineering and Technology - [GIT],No data found,No data found
758,Gopalan College of Engineering and Management - [GCEM],No data found,No data found
759,Green Hills Engineering College,No data found,No data found
760,Hasmukh Goswami College of Engineering - [HGCE],No data found,No data found
761,Hindusthan Institute of Technology - [HITECH],No data found,No data found
762,Institute of Engineering and Technology - [IETR],No data found,No data found
763,KG Reddy College of Engineering and Technology - [KGRCET],No data found,No data found
764,KLN College of Information Technology - [KLNCIT],No data found,No data found
765,KNS Institute of Technology - [KNSIT],No data found,No data found
766,KCC Institute of Technology and Management - [KCCITM],No data found,No data found
767,Lakhmi Chand Institute of Technology - [LCIT],No data found,No data found
768,Lendi Institute of Engineering and Technology,No data found,No data found
769,M.A.M College of Engineering - [MAMCE],No data found,No data found
770,Marri Laxman Reddy Institute of Technology & Management - [MLRITM],No data found,No data found
771,Maharaja Institute of Technology - [MIT],No data found,No data found
772,Maharana Pratap Engineering College - [MPEC],No data found,No data found
773,Malla Reddy College of Engineering and Technology- [MRCET],No data found,No data found
774,Malla Reddy Institute of Technology - [MRIT],No data found,No data found
775,Mallabhum Institute of Technology - [MIT],No data found,No data found
776,Malwa Institute of Science and Technology - [MIST],No data found,No data found
777,Mewat Engineering College - [MECW],No data found,No data found
778,Nagpur Institute of Technology - [NIT],No data found,No data found
779,P.B. College of Engineering - [PBCE],No data found,No data found
780,Progressive Education Society's Modern College of Engineering - [MCOE],No data found,No data found
781,Raghu Institute of Technology - [RIT],No data found,No data found
782,Rajiv Gandhi College of Engineering and Technology,No data found,No data found
783,Reva Institute of Technology and Management - [RITM],No data found,No data found
784,SKP Engineering College,No data found,No data found
785,"Scient Institute of Technology, Ibrahimpatnam",No data found,No data found
786,Shree Swami Atmanand Saraswati Institute of Technology - [SSASIT],No data found,No data found
787,St Xaviers Catholic College of Engineering - [SXCCE],No data found,No data found
788,Surya Engineering College,No data found,No data found
789,T John Institute of Technology - [TJIT],No data found,No data found
790,Technocrats Institute of Technology - [TIT],No data found,No data found
791,Teegala Krishna Reddy Engineering College,No data found,No data found
792,Toc H Institute of Science and Technology - [TIST],No data found,No data found
793,Walchand Institute of Technology - [WIT],No data found,No data found
794,Truba College of Science and Technology - [TCST],No data found,No data found
795,Jain College of Engineering - [JCE],No data found,No data found
796,M.A.M. College of Engineering and Technology - [MAMCET],No data found,No data found
797,Velammal College of Engineering and Technology - [VCET],No data found,No data found
798,Vignan Institute of Technology And Management,No data found,No data found
799,Mangalmay Institute of Engineering and Technology - [MIET],No data found,No data found
800,Jansons Institute of Technology - [JIT],No data found,No data found
801,United Institute of Technology - [UIT],No data found,No data found
802,Vidya Academy of Science and Technology - [VAST],No data found,No data found
803,Viswajyothi College of Engineering and Technology - [VJCET],No data found,No data found
804,ICFAI Foundation for Higher Education - [IFHE],No data found,No data found
805,ICFAI University,No data found,No data found
806,AP Goyal Shimla University,No data found,No data found
807,Mohammad Ali Jauhar University,No data found,No data found
808,PCTE Group of Institutes,No data found,No data found
809,Dayananda Sagar Institutions - [DSI],No data found,No data found
810,Bangalore Technological Institute - [BTI],No data found,No data found
811,A. C. Patil College of Engineering - [ACPCE],No data found,No data found
812,Vasantdada Patil Pratishtan's College of Engineering & Visual Arts,No data found,No data found
813,PPG Institute of Technology - [PPGIT],No data found,No data found
814,Vadodara Institute of Engineering,No data found,No data found
815,JD College of Engineering and Management,No data found,No data found
816,Shree L. R. Tiwari College of Engineering - [SLRTCE],No data found,No data found
817,Apex Professional University - [APU],No data found,No data found
818,Haridwar University,No data found,No data found
819,Providence College of Engineering,No data found,No data found
820,Dr. NGP Institute of Technology,No data found,No data found
821,Gwalior Engineering College - [GEC],No data found,No data found
822,United Group of Institutions - [UGI],No data found,No data found
823,Sarvepalli Radhakrishnan University - [SRK],No data found,No data found
824,Ajeenkya DY Patil University - [ADYPU],"Ajeenkya DY Patil University, School of Management","Pune, Maharashtra"
824,Ajeenkya DY Patil University - [ADYPU],"Ajeenkya DY Patil University, School of Film and Media","Pune, Maharashtra"
825,H.V.P.Mandal's College of Engineering & Technology,No data found,No data found
826,"Faculty of Engineering Sciences & Technology, Adani University - [FEST]",No data found,No data found
827,IAMR Group of Institutions - [IAMR],No data found,No data found
828,Amritsar Group of Colleges - [AGC],No data found,No data found
829,Gokul Global University - [GGU],"Hansaba College of Engineering & Technology, Gokul Global University - [HCET]","Sidhpur, Gujarat"
829,Gokul Global University - [GGU],"Gokul College of Architecture and Design, Gokul Global University","Sidhpur, Gujarat"
829,Gokul Global University - [GGU],"Gokul Physiotherapy College, Gokul Global University","Sidhpur, Gujarat"
829,Gokul Global University - [GGU],"Gokul Law And Integrated Law College, Gokul Global University","Sidhpur, Gujarat"
829,Gokul Global University - [GGU],"Gokul Nursing College, Gokul Global University","Sidhpur, Gujarat"
829,Gokul Global University - [GGU],"Jashodaba Polytechnic Institute, Gokul Global University","Sidhpur, Gujarat"
829,Gokul Global University - [GGU],"Gokul Science & Commerce College, Gokul Global University","Sidhpur, Gujarat"
830,Jawahar Engineering College,No data found,No data found
831,World College of Technology and Management - [WCTM],No data found,No data found
832,Adhi College of Engineering and Technology - [ACET],No data found,No data found
833,Adichunchanagiri Institute of Technology- [AIT],No data found,No data found
834,Aligarh College of Engineering and Technology - [ACET],No data found,No data found
835,Allenhouse Institute of Technology,No data found,No data found
836,Amrita School of Engineering - [ASE],No data found,No data found
837,Anjalai Ammal Mahalingam Engineering College - [AAMEC],No data found,No data found
838,CSI College of Engineering - [CSICE],No data found,No data found
839,Channabasaveshwara Institute of Technology - [CIT],No data found,No data found
840,Chirala Engineering College - [CEC],No data found,No data found
841,EASA College of Engineering and Technology - [ECET],No data found,No data found
842,GM University,No data found,No data found
843,Gates Institute of Technology-[GIT],No data found,No data found
844,Geeta Engineering College - [GEC],No data found,No data found
845,Gharda Institute of Technology-[GIT],No data found,No data found
846,Hooghly Engineering and Technology College - [HETC],No data found,No data found
847,Institute of Engineering & Technology,No data found,No data found
848,Info Institute of Engineering - [IIE],No data found,No data found
849,Jawaharlal Nehru National College of Engineering - [JNNCE],No data found,No data found
850,KMEA Engineering College - [KMEA EC],No data found,No data found
851,Kalpataru Institute of Technology - [KIT],No data found,No data found
852,Karpaga Vinayaga College of Engineering and Technology - [KVCET],No data found,No data found
853,Konkan Gyanpeeth College of Engineering - [KGCE],No data found,No data found
854,Krupajal Engineering College - [KEC],No data found,No data found
855,LDRP Institute of Technology and Research - [LDRPITR],No data found,No data found
856,L.J. Institute of Engineering and Technology - [LJIET],No data found,No data found
857,Malwa Institute of Technology - [MIT],No data found,No data found
858,Mangalore Institute of Technology and Engineering - [MITE],No data found,No data found
859,Modern Education Society's Wadia College of Engineering - [MESWCOE],No data found,No data found
860,Modern Institute of Engineering and Technology - [MIET],No data found,No data found
861,Neotia Institute of Technology Management and Science - [NITMAS],No data found,No data found
862,Prakasam Engineering College - [PEC],No data found,No data found
863,Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC],No data found,No data found
864,QIS College of Engineering and Technology - [QISCET],No data found,No data found
865,RK College of Engineering - [RKCE],No data found,No data found
866,Rajiv Gandhi Institute of Technology - [RGIT],No data found,No data found
867,SVS College of Engineering - [SVSCE],No data found,No data found
868,Sasi Institute of Technology & Engineering - [SITE],No data found,No data found
869,Shivajirao S Jondhale College of Engineering - [SSJCE],No data found,No data found
870,Shree Devi Institute of Technology - [SDIT],No data found,No data found
871,Sinhgad Academy of Engineering - [SAE] Kondhawa,No data found,No data found
872,Sir Visvesvaraya Institute Of Technology - [SVIT] Chincholi,No data found,No data found
873,Sree Dattha Institute of Engineering and Science - [SDES],No data found,No data found
874,Sri Vijaya Vittala Institute of Technology- [VVIT],No data found,No data found
875,St Joseph Engineering College - [SJEC],No data found,No data found
876,Swami Vivekanand College of Engineering - [SVCE],No data found,No data found
877,Syed Ammal Engineering college,No data found,No data found
878,Tripura Institute of Technology,No data found,No data found
879,Yagyavalkya Institute of Technology - [YIT],No data found,No data found
880,Gojan School of Business and Technology - [GSBT],No data found,No data found
881,CMR Institute of Technology - [CMRIT],No data found,No data found
882,PET Engineering College,No data found,No data found
883,Patel College of Science and Technology - [PCST],No data found,No data found
884,Usha Mittal Institute of Technology - [UMIT],No data found,No data found
885,Vaageswari College of Engineering,No data found,No data found
886,Vishveshwarya Group of Institutions - [VGI],No data found,No data found
887,NIIT University - [NU],No data found,No data found
888,CT Group of Institutions,No data found,No data found
889,ABMSP's Anantrao Pawar College of Engineering & Research - [APCOER],No data found,No data found
890,Institute of Technology & Management - [ITM],No data found,No data found
891,JCT College of Engineering and Technology,No data found,No data found
892,JIMS Engineering Management Technical Campus- [JEMTEC],No data found,No data found
893,Dhanalakshmi Srinivasan College of Engineering - [DSCE],No data found,No data found
894,Vaigai College of Engineering- [VCE],No data found,No data found
895,Jagannath University,No data found,No data found
896,Bhopal Institute of Technology & Science - [BITS],No data found,No data found
897,St.Mary's Engineering College - [SMEC],No data found,No data found
898,Maharishi University of Information Technology -[MUIT],No data found,No data found
899,Meerut Institute of Technology - [MIT],No data found,No data found
900,Institute of Technology and Management - [ITM],No data found,No data found
901,VSB College of Engineering Technical Campus,No data found,No data found
902,Guru Nanak Institutions Technical Campus - [GNITC],No data found,No data found
903,Bineswar Brahma Engineering College- [BBEC],No data found,No data found
904,Rawal Institutions,No data found,No data found
905,Madhyanchal Professional University - [MPU],No data found,No data found
906,Yenepoya Institute of Technology - [YIT],No data found,No data found
907,Sapkal Knowledge Hub - [SKH],No data found,No data found
908,International School of Engineering - [INSOFE],No data found,No data found
909,Shikshapeeth College of Management and Technology - [SCMT],No data found,No data found
910,Thakur Institute of Aviation Technology - [TIAT],No data found,No data found
911,BFIT Group of Institutions - [BFIT],No data found,No data found
912,"AVN Institute of Engineering and Technology - [AVNIET], Ibrahimpatnam",No data found,No data found
913,Amrita Sai Institute of Science and Technology - [ASIST],No data found,No data found
914,Arya College of Engineering,No data found,No data found
915,Bahubali College of Engineering - [BCE],No data found,No data found
916,Bearys Institute of Technology-[BIT],No data found,No data found
917,Bharat Institute of Technology - [BIT],No data found,No data found
918,Bharati Vidyapeeth College of Engineering - [BVCOE] Navi Mumbai,No data found,No data found
919,Christ College of Engineering and Technology,No data found,No data found
920,Coorg Institute of Technology - [CIT],No data found,No data found
921,Dr. Sivanthi Aditanar College of engineering - [SACOE],No data found,No data found
922,G. Pullaiah College of Engineering and Technology - [GPCET],No data found,No data found
