Serial No.,College Name,Course,Fees,Eligibility,Application Date
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Tech
12 Courses",2.4 Lakhs - 5 Lakhs (1st Year Fees),10+2 with 45% + KCET,24 May - 17 Jun 2024
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"B.Sc {Hons.}
18 Courses","88,250 - 2.5 Lakhs (1st Year Fees)",10+2,-
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"M.Sc
13 Courses","90,000 - 1.8 Lakhs (1st Year Fees)",Graduation,-
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"MBA
9 Courses",4 Lakhs (1st Year Fees),Graduation with 50% + Karnataka PGCET,27 May - 17 Jun 2024
501,M.S. Ramaiah University of Applied Sciences - [MSRUAS],"Ph.D
11 Courses",1.92 Lakhs (1st Year Fees),Post Graduation,-
502,Swami Rama Himalayan University - [SRHU],MBBS,21.13 Lakhs (1st Year Fees),10+2 + NEET,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Sc
6 Courses","59,500 - 2.2 Lakhs (1st Year Fees)",10+2 with 45%,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Sc {Hons.}
4 Courses",1 Lakh - 2.88 Lakhs (1st Year Fees),10+2 with 50%,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Sc (Nursing)
1 Course",1.93 Lakhs (1st Year Fees),10+2 with 45%,no data found
502,Swami Rama Himalayan University - [SRHU],"B.Tech
4 Courses",2.04 Lakhs - 2.44 Lakhs (1st Year Fees),10+2 with 55%,no data found
503,Srinivas University,"MBA
13 Courses",1.28 Lakhs (Total Fees),Graduation with 50%,-
503,Srinivas University,"B.Tech
12 Courses",4.17 Lakhs (Total Fees),10+2 with 45%,10 Jan - 20 Feb 2024
503,Srinivas University,"BCA
5 Courses","30,000 - 80,000 (1st Year Fees)",10+2,-
503,Srinivas University,"BBA
15 Courses","30,000 - 1.06 Lakhs (1st Year Fees)",10+2 with 40%,-
503,Srinivas University,"B.Sc (Nursing)
1 Course",1.68 Lakhs (1st Year Fees),10+2,-
504,East West College of Engineering - [EWCE],"BE
9 Courses",4 Lakhs - 7.64 Lakhs (Total Fees),10+2 with 45% + KCET,24 May - 17 Jun 2024
504,East West College of Engineering - [EWCE],"BE {Lateral}
6 Courses",3.13 Lakhs - 4.1 Lakhs (Total Fees),10+3 with 45% + DCET,-
505,Global Group of Institutes,"B.Tech
6 Courses","96,400 (1st Year Fees)",10+2,24 May - 14 Jun 2024
505,Global Group of Institutes,"B.Sc {Lateral}
3 Courses","56,400 (1st Year Fees)",DMLT,-
505,Global Group of Institutes,"MBA
3 Courses","96,400 (1st Year Fees)",Graduation,-
505,Global Group of Institutes,"BCA
1 Course","55,400 (1st Year Fees)",10+2,-
505,Global Group of Institutes,"Lateral Polytechnic
4 Courses","49,250 (1st Year Fees)",10+2,-
506,Priyadarshini College of Engineering - [PCE],"BE
13 Courses",1.13 Lakhs (1st Year Fees),10+2 with JEE Main,16 Jan - 28 Jul 2024
506,Priyadarshini College of Engineering - [PCE],"B.Tech
2 Courses",1.13 Lakhs (1st Year Fees),10+2 with JEE Main,16 Jan - 28 Jul 2024
506,Priyadarshini College of Engineering - [PCE],"M.Tech
4 Courses","84,000 (1st Year Fees)",Pass in Graduation + GATE,9 July - 29 Jul 2024
506,Priyadarshini College of Engineering - [PCE],"BE {Lateral}
7 Courses",1.13 Lakhs (1st Year Fees),10+3 with JEE Main,-
506,Priyadarshini College of Engineering - [PCE],"Ph.D
3 Courses","30,000 (1st Year Fees)",Post Graduation,-
507,Jeppiaar Institute of Technology - [JIT],"BE
5 Courses",2.2 Lakhs (Total Fees),10+2 with 45% + TNEA,6 May - 11 Jun 2024
507,Jeppiaar Institute of Technology - [JIT],"B.Tech
2 Courses",2.2 Lakhs (Total Fees),10+2 with 45% + TNEA,6 May - 11 Jun 2024
507,Jeppiaar Institute of Technology - [JIT],"MBA
5 Courses","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
507,Jeppiaar Institute of Technology - [JIT],"BE {Lateral}
4 Courses",1.65 Lakhs (Total Fees),Diploma,-
507,Jeppiaar Institute of Technology - [JIT],"B.Tech {Lateral}
2 Courses",1.65 Lakhs (Total Fees),Diploma,-
508,Seacom Skills University - [SSU],"B.Sc
25 Courses","35,000 - 2.2 Lakhs (1st Year Fees)",10+2,-
508,Seacom Skills University - [SSU],"B.Tech
5 Courses","82,000 (1st Year Fees)",10+2 with 45%,28 Dec - 27 Jan 2024
508,Seacom Skills University - [SSU],"M.Sc
20 Courses","35,000 - 1.3 Lakhs (1st Year Fees)",Graduation,-
508,Seacom Skills University - [SSU],"M.Tech
11 Courses","90,000 (1st Year Fees)",Graduation,-
508,Seacom Skills University - [SSU],"Ph.D
19 Courses",4.9 Lakhs - 5.3 Lakhs (Total Fees),Post Graduation,-
509,SRM University,"B.Tech
27 Courses",2.5 Lakhs - 4.75 Lakhs (1st Year Fees),10+2 with 60% + SRMJEEE,11 Mar - 25 Jul 2024
509,SRM University,"B.Sc {Hons.}
17 Courses",1.55 Lakhs - 1.7 Lakhs (1st Year Fees),10+2 with 60%,-
509,SRM University,"MBA
9 Courses",1.8 Lakhs - 3.6 Lakhs (1st Year Fees),Graduation,20 Mar - 19 Apr 2024
509,SRM University,"Ph.D
17 Courses","16,000 - 30,000 (1st Year Fees)",Post Graduation with 60%,-
509,SRM University,"BBA {Hons.}
7 Courses",2.55 Lakhs (1st Year Fees),10+2,-
510,University of Technology - [UOT],"B.Tech
14 Courses","90,000 (1st Year Fees)",10+2,no data found
510,University of Technology - [UOT],"Diploma
15 Courses","15,000 - 60,000 (Total Fees)",10+2,no data found
510,University of Technology - [UOT],"B.Sc
18 Courses","15,000 - 70,000 (1st Year Fees)",10+2,no data found
510,University of Technology - [UOT],"M.Sc
14 Courses","30,000 - 40,000 (1st Year Fees)",Graduation,no data found
510,University of Technology - [UOT],"BCA
1 Course","30,000 (1st Year Fees)",10+2,no data found
511,CT University - [CTU],"B.Tech
4 Courses","45,000 - 1.01 Lakhs (1st Year Fees)",10+2 with 50%,-
511,CT University - [CTU],"Diploma
6 Courses","50,000 - 55,000 (Total Fees)",10+2,-
511,CT University - [CTU],"B.Sc
5 Courses","50,000 - 65,000 (1st Year Fees)",10+2 with 50%,31 Aug 2024
511,CT University - [CTU],"M.Sc
3 Courses","38,000 - 45,000 (1st Year Fees)",Graduation with 50%,31 Aug 2024
511,CT University - [CTU],"MBA
14 Courses","85,000 - 95,000 (1st Year Fees)",Graduation with 50%,31 Aug 2024
512,Malla Reddy College of Engineering for Women - [MRCEW],"B.Tech
4 Courses","73,000 (1st Year Fees)",10+2 with 75% + JEE Main,3 Mar - 02 May 2024
512,Malla Reddy College of Engineering for Women - [MRCEW],"B.Tech {Lateral}
5 Courses","70,000 (1st Year Fees)",10+2 with 45% + TSECET,-
513,Adichunchanagiri University - [ACU],MBBS,1.29 Lakhs (1st Year Fees),10+2 with 50% + NEET,no data found
513,Adichunchanagiri University - [ACU],"BE
6 Courses",4.17 Lakhs (Total Fees),10+2 with 45% + KCET,no data found
513,Adichunchanagiri University - [ACU],"B.Sc (Nursing)
1 Course",1.3 Lakhs (1st Year Fees),10+2,no data found
513,Adichunchanagiri University - [ACU],"M.Sc
11 Courses","45,000 - 75,000 (1st Year Fees)",Graduation,no data found
513,Adichunchanagiri University - [ACU],"B.Sc
5 Courses","75,000 - 80,000 (1st Year Fees)",10+2,no data found
514,Bhabha University - [BU],"B.Tech
7 Courses","44,000 (1st Year Fees)",10+2 with 45%,-
514,Bhabha University - [BU],"B.Sc
9 Courses","16,400 (1st Year Fees)",10+2 with 45%,1 Aug - 31 Mar 2024
514,Bhabha University - [BU],"D.Pharm
1 Course","52,200 (1st Year Fees)",10+2 with 45%,-
514,Bhabha University - [BU],"B.Sc (Nursing)
1 Course","69,400 (1st Year Fees)",10+2 with 45%,-
514,Bhabha University - [BU],"BCA
1 Course","19,000 (1st Year Fees)",10+2,-
515,Sant Baba Bhag Singh University - [SBBSU],"B.Sc
10 Courses","28,850 - 58,900 (1st Year Fees)",10+2 with 50%,no data found
515,Sant Baba Bhag Singh University - [SBBSU],"Ph.D
15 Courses","50,000 (1st Year Fees)",Post Graduation,no data found
515,Sant Baba Bhag Singh University - [SBBSU],"B.Tech
4 Courses",1.03 Lakhs (1st Year Fees),10+2 with 45%,no data found
515,Sant Baba Bhag Singh University - [SBBSU],"M.Sc
9 Courses","35,850 - 53,250 (1st Year Fees)",Graduation with 60%,no data found
515,Sant Baba Bhag Singh University - [SBBSU],"B.Sc {Hons.}
1 Course","44,850 (1st Year Fees)",10+2,no data found
516,Shivajirao Kadam Group of Colleges,"B.Tech
8 Courses","50,000 - 90,000 (1st Year Fees)",10+2,13 June - 18 Aug 2024
516,Shivajirao Kadam Group of Colleges,"D.Pharm
1 Course","60,000 (1st Year Fees)",10+2 with 45%,-
516,Shivajirao Kadam Group of Colleges,"MBA
1 Course","80,000 (1st Year Fees)",Graduation with 50%,-
516,Shivajirao Kadam Group of Colleges,"BBA
1 Course","60,000 (1st Year Fees)",10+2 with 45%,1 May - 15 Sept 2024
516,Shivajirao Kadam Group of Colleges,L.L.B,"45,000 (1st Year Fees)",Graduation,1 May - 20 May 2024
517,Rai University - [RU],"B.Tech
2 Courses","89,100 (1st Year Fees)",10+2 with 45%,31 May 2024
517,Rai University - [RU],"B.Sc
4 Courses","46,600 - 73,600 (1st Year Fees)",10+2,31 May 2024
517,Rai University - [RU],"MBA
1 Course","86,600 (1st Year Fees)",Graduation with 50%,31 May 2024
517,Rai University - [RU],"Polytechnic
3 Courses","64,600 (1st Year Fees)",10th,31 May 2024
517,Rai University - [RU],"B.Sc {Hons.}
1 Course",1.02 Lakhs (1st Year Fees),10+2 with 50%,31 May 2024
518,Shri Krishna University - [SKU],"Diploma
24 Courses","10,500 - 34,500 (Total Fees)",10+2,-
518,Shri Krishna University - [SKU],"B.Tech
7 Courses","33,500 - 46,000 (1st Year Fees)",10+2,-
518,Shri Krishna University - [SKU],"MBA
7 Courses","50,000 (1st Year Fees)",Graduation,-
518,Shri Krishna University - [SKU],"BCA
1 Course","22,000 (1st Year Fees)",10+2,-
518,Shri Krishna University - [SKU],"B.Sc + B.Ed
5 Courses","22,500 (1st Year Fees)",10+2,1 Aug - 31 Mar 2024
519,Anand Institute of Higher Technology - [AIHT],"B.Tech
4 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
519,Anand Institute of Higher Technology - [AIHT],"BE
6 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
519,Anand Institute of Higher Technology - [AIHT],"ME
3 Courses","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
519,Anand Institute of Higher Technology - [AIHT],"MBA
1 Course","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
519,Anand Institute of Higher Technology - [AIHT],B.Arch,2.2 Lakhs (Total Fees),10+2,-
520,Arunai Engineering College - [AEC],"B.Tech
6 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
520,Arunai Engineering College - [AEC],"BE
6 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
520,Arunai Engineering College - [AEC],"MBA
1 Course","41,000 (Total Fees)",Graduation,10 Jan - 15 Feb 2024
520,Arunai Engineering College - [AEC],"ME
5 Courses","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
520,Arunai Engineering College - [AEC],"M.Tech
1 Course","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"B.Tech
4 Courses",1.01 Lakhs (1st Year Fees),10+2,16 Jan - 28 Jul 2024
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"BE
1 Course",1.01 Lakhs (1st Year Fees),10+2,16 Jan - 28 Jul 2024
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"B.Tech {Lateral}
4 Courses",1.01 Lakhs (1st Year Fees),Diploma,-
521,Bharati Vidyapeeth College of Engineering - [BVCOE],"M.Tech
3 Courses","62,500 (1st Year Fees)",Pass in Graduation + GATE,9 July - 29 Jul 2024
522,DMI College of Engineering - [DMICE],"B.Tech
2 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
522,DMI College of Engineering - [DMICE],"BE
6 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
522,DMI College of Engineering - [DMICE],"MBA
5 Courses","41,000 (Total Fees)",Graduation with 50% + TANCET,10 Jan - 15 Feb 2024
522,DMI College of Engineering - [DMICE],"ME
4 Courses","60,000 (Total Fees)",Graduation with 50% + TANCET,15 Apr - 14 May 2024
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"BE
12 Courses",1.7 Lakhs - 3.5 Lakhs (1st Year Fees),10+2 + CET,24 May - 17 Jun 2024
523,Dayananda Sagar Academy of Technology and Management - [DSATM],"MBA
1 Course",4.5 Lakhs (1st Year Fees),Graduation with 50% + CMAT,-
523,Dayananda Sagar Academy of Technology and Management - [DSATM],B.Arch,2.81 Lakhs (1st Year Fees),10+2 with 50% + NATA,-
523,Dayananda Sagar Academy of Technology and Management - [DSATM],MCA,2.95 Lakhs (1st Year Fees),Graduation with 50% + PGCET,27 May - 17 Jun 2024
524,Dhole Patil College of Engineering - [DPCOE],"BE
4 Courses","97,671 (1st Year Fees)",10+2 with 45% + JEE,16 Jan - 28 Jul 2024
524,Dhole Patil College of Engineering - [DPCOE],"MBA
5 Courses","38,472 (1st Year Fees)",Graduation with 50% + CMAT,11 Jan - 27 Jul 2024
524,Dhole Patil College of Engineering - [DPCOE],"BE {Lateral}
4 Courses","97,424 (1st Year Fees)",10+3 with JEE Main,-
525,Don Bosco Institute of Technology - [DBIT],"BE
9 Courses",1.5 Lakhs - 6 Lakhs (Total Fees),10+2,24 May - 17 Jun 2024
525,Don Bosco Institute of Technology - [DBIT],"MBA
3 Courses",2.5 Lakhs (Total Fees),Graduation with 50%,27 May - 17 Jun 2024
525,Don Bosco Institute of Technology - [DBIT],"M.Tech
4 Courses",1.51 Lakhs (Total Fees),Graduation,-
526,Dronacharya Group of Institutions - [DGI],"B.Tech
9 Courses","61,200 (1st Year Fees)",10+2 with 50% +JEE MAINS/UPTAC,11 June - 30 Jul 2024
526,Dronacharya Group of Institutions - [DGI],"MBA
6 Courses","66,500 - 93,800 (1st Year Fees)",Graduation with 50%+CAT,19 June - 10 Jul 2024
527,Gandhinagar Institute of Technology - [GIT],"BE
10 Courses","65,250 (1st Year Fees)",10+2 with 45% + GUJCET,1 Apr - 03 Jul 2024
527,Gandhinagar Institute of Technology - [GIT],"MBA
4 Courses","76,000 (1st Year Fees)",Graduation with 50% + CAT,21 June - 17 Jul 2024
527,Gandhinagar Institute of Technology - [GIT],"ME
4 Courses","89,250 (1st Year Fees)",Graduation,20 June - 01 Jul 2024
527,Gandhinagar Institute of Technology - [GIT],"M.Tech
1 Course","89,250 (1st Year Fees)",Graduation,20 June - 01 Jul 2024
527,Gandhinagar Institute of Technology - [GIT],"PG Diploma
1 Course","85,000 (Total Fees)",Graduation,-
528,HMR Institute of Technology & Management - [HMRITM],"B.Tech
10 Courses",1.49 Lakhs (1st Year Fees),10+2 with 55% + JEE Main,1 Feb - 15 Apr 2024
528,HMR Institute of Technology & Management - [HMRITM],"B.Tech {Lateral}
11 Courses",1.49 Lakhs (1st Year Fees),10+3 with 60% + JEE Main,-
528,HMR Institute of Technology & Management - [HMRITM],"MBA
1 Course",1.04 Lakhs (1st Year Fees),Graduation with 50% + IPU CET,1 Feb - 15 May 2024
529,Indore Institute of Science and Technology - [IIST],"B.Tech
9 Courses","60,000 (1st Year Fees)",10+2,13 June - 18 Aug 2024
529,Indore Institute of Science and Technology - [IIST],"ME
3 Courses","62,000 (1st Year Fees)",Graduation,5 July - 15 Sept 2024
530,KSR College of Engineering,"BE
9 Courses",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
530,KSR College of Engineering,"B.Tech
1 Course",2.2 Lakhs (Total Fees),10+2,6 May - 11 Jun 2024
530,KSR College of Engineering,"BE {Lateral}
6 Courses",1.65 Lakhs (Total Fees),Diploma,-
530,KSR College of Engineering,"ME
6 Courses","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
530,KSR College of Engineering,"MBA
1 Course","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
531,Loyola Institute of Technology - [LIT],"B.Tech
2 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
531,Loyola Institute of Technology - [LIT],"MBA
1 Course","41,000 (Total Fees)",Graduation,10 June - 04 Jul 2024
531,Loyola Institute of Technology - [LIT],"BE
6 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
531,Loyola Institute of Technology - [LIT],"ME
2 Courses","60,000 (Total Fees)",Graduation,15 Apr - 14 May 2024
531,Loyola Institute of Technology - [LIT],MCA,"41,000 (Total Fees)",Graduation,-
532,Lucknow Institute of Technology - [LIT],"B.Tech
7 Courses",2.2 Lakhs (Total Fees),10+2+UPTAC,11 June - 30 Jul 2024
532,Lucknow Institute of Technology - [LIT],"Polytechnic
3 Courses","30,150 (1st Year Fees)",10th Pass,-
532,Lucknow Institute of Technology - [LIT],"B.Tech {Lateral}
7 Courses",1.78 Lakhs (Total Fees),Diploma + UPTAC,-
532,Lucknow Institute of Technology - [LIT],"Lateral Polytechnic
3 Courses","30,150 (1st Year Fees)",10+2,-
532,Lucknow Institute of Technology - [LIT],"MBA
6 Courses",1.19 Lakhs (Total Fees),Graduation,19 June - 10 Jul 2024
533,Madha Engineering College,"B.Tech
4 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
533,Madha Engineering College,"BE
8 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
533,Madha Engineering College,"MBA
1 Course","41,000 (Total Fees)",Graduation with 50% + TANCET,10 June - 04 Jul 2024
533,Madha Engineering College,"ME
5 Courses","60,000 (Total Fees)",Pass in Graduation + GATE,15 Apr - 14 May 2024
533,Madha Engineering College,MCA,"41,000 (Total Fees)",Graduation with 50% + TANCET,10 June - 04 Jul 2024
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],"B.Tech
11 Courses","74,470 (1st Year Fees)",10+2,11 Mar - 25 Jul 2024
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],"B.Tech {Lateral}
7 Courses",2.23 Lakhs (Total Fees),10+3,-
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],"MBA
1 Course","60,000 (1st Year Fees)",Graduation with 50%,20 Mar - 19 Apr 2024
534,Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE],"M.Tech
1 Course","71,500 (1st Year Fees)",Graduation + GATE,23 Mar - 12 May 2024
535,Manav Rachna University - [MRU],"B.Tech
10 Courses",1.9 Lakhs - 2.95 Lakhs (1st Year Fees),10+2 with 55%,31 Aug 2024
535,Manav Rachna University - [MRU],"BBA
5 Courses",2.1 Lakhs (1st Year Fees),10+2,31 Aug 2024
535,Manav Rachna University - [MRU],"M.Sc
3 Courses","99,000 (1st Year Fees)",Graduation,31 Aug 2024
535,Manav Rachna University - [MRU],"MBA
1 Course",3.29 Lakhs (1st Year Fees),Graduation,31 Aug 2024
535,Manav Rachna University - [MRU],"Ph.D
9 Courses",1.4 Lakhs (1st Year Fees),Post Graduation,31 Aug 2024
536,Orissa Engineering College - [OEC],"B.Tech
6 Courses","86,500 (1st Year Fees)",10+2,16 Aug - 20 Aug 2024
536,Orissa Engineering College - [OEC],"B.Tech {Lateral}
6 Courses","86,500 (1st Year Fees)",Diploma,-
537,RD Engineering College,"B.Tech
8 Courses","92,500 (1st Year Fees)",10+2,11 June - 30 Jul 2024
537,RD Engineering College,"MBA
5 Courses","52,500 (1st Year Fees)",Graduation,19 June - 10 Jul 2024
537,RD Engineering College,"B.Tech {Lateral}
8 Courses","92,500 (1st Year Fees)",Diploma,-
537,RD Engineering College,"M.Tech
2 Courses","52,500 (1st Year Fees)",Graduation,-
537,RD Engineering College,MCA,"52,500 (1st Year Fees)",Graduation,19 June - 10 Jul 2024
538,Sri Indu Institute of Engineering & Technology - [SIIET],"B.Tech
12 Courses","98,000 (1st Year Fees)",10+2,no data found
538,Sri Indu Institute of Engineering & Technology - [SIIET],"M.Tech
2 Courses","70,000 (1st Year Fees)",Graduation,no data found
538,Sri Indu Institute of Engineering & Technology - [SIIET],"MBA
1 Course","54,000 (1st Year Fees)",Graduation,no data found
538,Sri Indu Institute of Engineering & Technology - [SIIET],"B.Tech {Lateral}
6 Courses","95,000 (1st Year Fees)",10+2 with 45% + TSECET,no data found
539,Rajalakshmi Institute of Technology - [RIT],"BE
6 Courses",2 Lakhs (1st Year Fees),10+2 with 50%,6 May - 11 Jun 2024
539,Rajalakshmi Institute of Technology - [RIT],"B.Tech
3 Courses",2 Lakhs (1st Year Fees),10+2 with 50%,6 May - 11 Jun 2024
539,Rajalakshmi Institute of Technology - [RIT],"MBA
1 Course",2 Lakhs (1st Year Fees),Graduation,-
540,Rajasthan Institute of Engineering and Technology - [RIET],"B.Tech
8 Courses","94,500 (1st Year Fees)",10+2 with 45%,31 May - 17 Jul 2024
540,Rajasthan Institute of Engineering and Technology - [RIET],"MBA
4 Courses","77,000 (1st Year Fees)",Graduation,31 May 2024
540,Rajasthan Institute of Engineering and Technology - [RIET],"M.Tech
6 Courses","96,500 (1st Year Fees)",Graduation with 50%,31 May 2024
540,Rajasthan Institute of Engineering and Technology - [RIET],"BBA
1 Course","46,000 (1st Year Fees)",10+2 with 48%,-
540,Rajasthan Institute of Engineering and Technology - [RIET],"BCA
1 Course","46,000 (1st Year Fees)",10+2 with 48%,-
541,Rajshree Institute of Management and Technology - [RIMT],"B.Tech
6 Courses","51,400 - 71,200 (1st Year Fees)",10+2 with 45%+UPTAC,11 June - 30 Jul 2024
541,Rajshree Institute of Management and Technology - [RIMT],"MBA
5 Courses","61,300 (1st Year Fees)",Graduation with 50%,19 June - 10 Jul 2024
541,Rajshree Institute of Management and Technology - [RIMT],"PG Diploma
9 Courses","16,000 (Total Fees)",Graduation,-
541,Rajshree Institute of Management and Technology - [RIMT],"M.Sc
6 Courses","15,000 - 20,000 (1st Year Fees)",Graduation with 45%,-
541,Rajshree Institute of Management and Technology - [RIMT],"Polytechnic
4 Courses","40,000 (1st Year Fees)",10th,-
542,SSM College of Engineering - [SSMCE],"B.Tech
6 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
542,SSM College of Engineering - [SSMCE],"B.Tech {Lateral}
3 Courses",1.65 Lakhs (Total Fees),10+3 with 50% + TNEA,-
542,SSM College of Engineering - [SSMCE],"BE
5 Courses",2.2 Lakhs (Total Fees),10+2 with 50% + TNEA,6 May - 11 Jun 2024
542,SSM College of Engineering - [SSMCE],"MBA
5 Courses","41,000 (Total Fees)",Graduation,-
542,SSM College of Engineering - [SSMCE],"BE {Lateral}
6 Courses",1.65 Lakhs (Total Fees),10+3 with 50% + TNEA,-
543,Sam College of Engineering and Technology - [SAMCET],"BE
5 Courses","55,000 (1st Year Fees)",10+2 with 45% + PET,no data found
543,Sam College of Engineering and Technology - [SAMCET],"Polytechnic
3 Courses","25,500 (1st Year Fees)",10 + 2,no data found
543,Sam College of Engineering and Technology - [SAMCET],"M.Tech
4 Courses","62,000 (1st Year Fees)",Graduation + GATE,no data found
543,Sam College of Engineering and Technology - [SAMCET],"BE {Lateral}
5 Courses","55,000 (1st Year Fees)",10+3 with 45% + PET,no data found
543,Sam College of Engineering and Technology - [SAMCET],"MBA
1 Course","50,500 (1st Year Fees)",Graduation + MET,no data found
544,Sanghvi Institute of Management and Science - [SIMS],"BE
5 Courses","40,000 - 50,000 (1st Year Fees)",10+2 with 75% + JEE Main,13 June - 18 Aug 2024
544,Sanghvi Institute of Management and Science - [SIMS],"BBA
2 Courses","25,000 (1st Year Fees)",10+2,1 May - 20 May 2024
544,Sanghvi Institute of Management and Science - [SIMS],"MBA
1 Course","45,000 (1st Year Fees)",Graduation with 50% + CMAT,-
544,Sanghvi Institute of Management and Science - [SIMS],"BCA
1 Course","20,000 (1st Year Fees)",10+2,1 May - 20 May 2024
544,Sanghvi Institute of Management and Science - [SIMS],"M.Tech
5 Courses","65,000 - 70,000 (1st Year Fees)",Graduation,-
545,Sarvajanik College of Engineering and Technology - [SCET],"BE
10 Courses",1.28 Lakhs (1st Year Fees),10+2 + GUJCET,1 Apr - 03 Jul 2024
545,Sarvajanik College of Engineering and Technology - [SCET],"ME
6 Courses",1.66 Lakhs (1st Year Fees),Pass in Graduation + GATE,20 June - 01 Jul 2024
545,Sarvajanik College of Engineering and Technology - [SCET],"M.Tech
1 Course",1.66 Lakhs (1st Year Fees),Graduation,20 June - 01 Jul 2024
545,Sarvajanik College of Engineering and Technology - [SCET],MCA,"94,500 (1st Year Fees)",Graduation,21 June - 17 Jul 2024
546,Seacom Engineering College,"B.Tech
11 Courses",4.4 Lakhs - 8.9 Lakhs (Total Fees),10+2,28 Dec - 27 Jan 2024
546,Seacom Engineering College,"B.Tech {Lateral}
7 Courses",1 Lakh - 2 Lakhs (Total Fees),10+3,-
546,Seacom Engineering College,"MBA
5 Courses",2.1 Lakhs (Total Fees),Graduation,-
546,Seacom Engineering College,"BCA
1 Course",2.4 Lakhs (Total Fees),10+2,-
546,Seacom Engineering College,"B.Ed
1 Course",1.35 Lakhs (Total Fees),Graduation,-
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],"B.Tech
7 Courses","95,790 - 1.2 Lakhs (1st Year Fees)",10+2 with 75% + JEE Main,29 May - 07 Aug 2024
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],"BCA
1 Course","44,720 (1st Year Fees)",10+2,-
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],"MBA
1 Course","79,090 (1st Year Fees)",Graduation,-
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],"BBA
1 Course","44,220 (1st Year Fees)",10+2,-
547,Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT],MCA,"71,390 (1st Year Fees)",Graduation,-
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],"BE
2 Courses",1.52 Lakhs (1st Year Fees),Diploma,16 Jan - 28 Jul 2024
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],"B.Tech
8 Courses",1.52 Lakhs (1st Year Fees),10+2,16 Jan - 28 Jul 2024
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],"B.Tech {Lateral}
8 Courses",1.52 Lakhs (1st Year Fees),10+3,-
548,Shah and Anchor Kutchhi Engineering College - [SAKEC],"M.Tech
3 Courses","45,000 (1st Year Fees)",Graduation,9 July - 29 Jul 2024
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,"B.Tech
13 Courses",1.15 Lakhs (1st Year Fees),10+2 with 50% + EAMCET,3 Mar - 02 May 2024
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,"M.Tech
2 Courses","77,500 (1st Year Fees)",Graduation,-
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,"MBA
1 Course","54,000 (1st Year Fees)",Graduation,-
549,Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam,"B.Tech {Lateral}
10 Courses",1.15 Lakhs (1st Year Fees),10+2 with 45% + TSECET,-
