Serial No.,College Name,Company,Package,Job Roles,Headings
704,Jyothy Institute of Technology - [JIT],No data found,No data found,No data found,No data found
705,College of Engineering Perumon,No data found,No data found,No data found,No data found
706,Sreyas Institute of Engineering and Technology - [SIET],No data found,No data found,No data found,No data found
707,Delhi Institute of Tool Engineering - [DITE],No data found,No data found,No data found,No data found
708,K. C. College of Engineering And Management Studies And Research,No data found,No data found,No data found,No data found
709,Vi Institute of Technology - [VIIT],No data found,No data found,No data found,No data found
710,Birla Institute of Technology Extension Centre - [BIT],No data found,No data found,No data found,No data found
711,A. P. Shah Institute of Technology - [APSIT],No data found,No data found,No data found,No data found
712,Vidyavardhini's College of Engineering and Technology - [VCET],No data found,No data found,No data found,No data found
713,Vimal Jyothi Engineering College - [VJEC],No data found,No data found,No data found,No data found
714,K. Ramakrishnan College of Engineering -[KRCE],No data found,No data found,No data found,No data found
715,Ganga Technical Campus - [GTC],No data found,No data found,No data found,No data found
716,Pratap University - [PU],No data found,No data found,No data found,No data found
717,Girijananda Chowdhury Institute of Management & Technology - [GIMT],No data found,No data found,No data found,No data found
718,"GIET Engineering College, Rajahmundhry",No data found,No data found,No data found,No data found
719,"GIET College of Engineering, Rajahmundhry",No data found,No data found,No data found,No data found
720,Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT],No data found,No data found,No data found,No data found
721,Narsimha Reddy Engineering College - [NRCM],No data found,No data found,No data found,No data found
722,KGISL Institute of Technology - [KITE],No data found,No data found,No data found,No data found
723,Jai Parkash Mukand Lal Innovative Engineering & Technology Institute - [JMIETI],No data found,No data found,No data found,No data found
724,SAL College of Engineering - [SCE],No data found,No data found,No data found,No data found
725,OP Jindal University - [OPJU],No data found,No data found,No data found,No data found
726,Rajkiya Engineering College - [REC],No data found,No data found,No data found,No data found
727,Gopal Narayan Singh University - [GNSU],No data found,No data found,No data found,No data found
728,Shyam University,No data found,No data found,No data found,No data found
729,KIPM College of Engineering and Technology - [KIPM],No data found,No data found,No data found,No data found
730,Chalapathi Institute of Engineering and Technology - [CIET],No data found,No data found,No data found,No data found
731,KKR & KSR Institute of Technology and Sciences - [KITS],No data found,No data found,No data found,No data found
732,Kallam Haranadhareddy Institute of Technology - [KHIT],No data found,No data found,No data found,No data found
733,Vikrant University,No data found,No data found,No data found,No data found
734,JIS University,No data found,No data found,No data found,No data found
735,Renaissance University - [RU],No data found,No data found,No data found,No data found
736,OmDayal Group of Institutions,No data found,No data found,No data found,No data found
737,A.V.C College of Engineering - [AVCCE],No data found,No data found,No data found,No data found
738,AWH Engineering College,No data found,No data found,No data found,No data found
739,Aarupadai Veedu Institute of Technology - [AVIT],No data found,No data found,No data found,No data found
740,Abacus Institute of Engineering and Management,No data found,No data found,No data found,No data found
741,Akshaya College of Engineering and Technology-[ACET],No data found,No data found,No data found,No data found
742,Al Ameen Engineering College,No data found,No data found,No data found,No data found
743,Rajadhani Institute of Science and Technology - [RIST],No data found,No data found,No data found,No data found
744,Amrutvahini College of Engineering - [AVCOE],No data found,No data found,No data found,No data found
