Serial No.,College Name,Ranking Agency,Year,Rank
619,Sahrdaya College of Engineering - [SCE] Kodakara,No data found,No data found,No data found
620,Sanjivani College of Engineering,Overall,2024 Ranking,-
620,Sanjivani College of Engineering,Overall,2023 Ranking,#180|  out of 281 in  |India 2023|#29th in Maharashtra
620,Sanjivani College of Engineering,Overall,2022 Ranking,-
620,Sanjivani College of Engineering,B.Tech,2024 Ranking,#160|  out of 284 in  |India 2024|#27th in Maharashtra
620,Sanjivani College of Engineering,B.Tech,2023 Ranking,#148|  out of 246 in  |India 2023
620,Sanjivani College of Engineering,B.Tech,2022 Ranking,#135|  out of 238 in  |India 2022
620,Sanjivani College of Engineering,MBA,2024 Ranking,#161|  out of 275 in  |India 2024
620,Sanjivani College of Engineering,MBA,2023 Ranking,#167|  out of 272 in  |India 2023|#38th in Maharashtra
620,Sanjivani College of Engineering,MBA,2022 Ranking,-
621,Saroj Mohan Institute of Technology - [SMIT],No data found,No data found,No data found
622,Seemanta Engineering College,No data found,No data found,No data found
623,Sengunthar Engineering College,Overall,2024 Ranking,-
623,Sengunthar Engineering College,Overall,2023 Ranking,#271|  out of 281 in  |India 2023|#44th in Tamil Nadu
623,Sengunthar Engineering College,Overall,2021 Ranking,-
623,Sengunthar Engineering College,B.Tech,2024 Ranking,#281|  out of 284 in  |India 2024|#48th in Tamil Nadu
623,Sengunthar Engineering College,B.Tech,2023 Ranking,#236|  out of 246 in  |India 2023
623,Sengunthar Engineering College,B.Tech,2021 Ranking,#199|  out of 218 in  |India 2021
624,Shivani Engineering College - [SEC],B.Tech,2024 Ranking,#265|  out of 355 in  |Tamil Nadu 2024
625,Sri Venkateshwara College of Engineering - [SVCE],B.Tech,2024 Ranking,#43|  out of 160 in  |India 2024
626,Swami Vivekananda Institute of Technology - [SVIT],No data found,No data found,No data found
627,TKR College of Engineering and Technology - [TKRCET],B.Tech,2024 Ranking,#230|  out of 245 in  |India 2024|#28th in Hyderabad
628,Trinity College of Engineering,No data found,No data found,No data found
629,APS College of Engineering - [APS],No data found,No data found,No data found
630,College of Engineering - [COER],Overall,2023 Ranking,#177|  out of 281 in  |India 2023|#5th in Uttarakhand
631,Park College of Engineering and Technology - [PCET],B.Tech,2020 Ranking,#54|  out of 162 in  |India 2020|#8th in Tamil Nadu
632,"University Institute of Information Technology, Himachal Pradesh University - [UIIT]",No data found,No data found,No data found
633,GD Goenka University - [GDGU],Pharmacy,2024 Ranking,#101-125|  out of 125 in  |India 2024|#5th in Haryana
633,GD Goenka University - [GDGU],Pharmacy,2023 Ranking,#101-125|  out of 125 in  |India 2023|#5th in Haryana
634,NIILM University,No data found,No data found,No data found
635,IEC University Baddi - [ICEU],Hotel Management,2021 Ranking,#22|  out of 30 in  |India 2021
635,IEC University Baddi - [ICEU],Hotel Management,2020 Ranking,#22|  out of 22 in  |India 2020
636,ITM (SLS) Baroda University,No data found,No data found,No data found
637,ISL Engineering College - [ISLEC],No data found,No data found,No data found
638,Trident Academy of Technology,Overall,2024 Ranking,-
638,Trident Academy of Technology,Overall,2023 Ranking,#174|  out of 281 in  |India 2023|#2nd in Odisha
638,Trident Academy of Technology,Overall,2020 Ranking,-
638,Trident Academy of Technology,Computer Applications,2024 Ranking,#126|  out of 167 in  |India 2024
638,Trident Academy of Technology,Computer Applications,2023 Ranking,#133|  out of 170 in  |India 2023
638,Trident Academy of Technology,Computer Applications,2020 Ranking,-
638,Trident Academy of Technology,B.Tech,2024 Ranking,-
638,Trident Academy of Technology,B.Tech,2023 Ranking,#142|  out of 246 in  |India 2023
638,Trident Academy of Technology,B.Tech,2020 Ranking,#144|  out of 254 in  |India 2020|#3rd in Odisha
638,Trident Academy of Technology,MBA,2024 Ranking,-
638,Trident Academy of Technology,MBA,2023 Ranking,#187|  out of 272 in  |India 2023|#6th in Odisha
638,Trident Academy of Technology,MBA,2020 Ranking,-
638,Trident Academy of Technology,BBA/BMS,2024 Ranking,#168|  out of 211 in  |India 2024
638,Trident Academy of Technology,BBA/BMS,2023 Ranking,-
638,Trident Academy of Technology,BBA/BMS,2020 Ranking,-
639,Maulana Azad University,No data found,No data found,No data found
640,Himalayan University - [HU],Overall,2024 Ranking,#128|  out of 160 in  |India 2024
640,Himalayan University - [HU],Overall,2023 Ranking,#128|  out of 171 in  |India 2023
640,Himalayan University - [HU],Overall,2022 Ranking,#112|  out of 161 in  |India 2022
641,People's University,Overall,2024 Ranking,#92|  out of 160 in  |India 2024
641,People's University,Overall,2023 Ranking,#93|  out of 171 in  |India 2023
641,People's University,Overall,2022 Ranking,#72|  out of 161 in  |India 2022
642,Amrita School of Engineering - [ASE],No data found,No data found,No data found
643,Ganga Group of Institutions - [GGI],No data found,No data found,No data found
644,RajaRajeswari College of Engineering - [RRCE],B.Tech,2019 Ranking,#142|  out of 150 in  |India 2019|#11th in Bangalore
645,Sri Manakula Vinayagar Engineering College - [SVMEC],Overall,2024 Ranking,-
645,Sri Manakula Vinayagar Engineering College - [SVMEC],Overall,2023 Ranking,#213|  out of 281 in  |India 2023|#2nd in Puducherry
645,Sri Manakula Vinayagar Engineering College - [SVMEC],Overall,2022 Ranking,-
645,Sri Manakula Vinayagar Engineering College - [SVMEC],B.Tech,2024 Ranking,#209|  out of 284 in  |India 2024|#1st in Puducherry
645,Sri Manakula Vinayagar Engineering College - [SVMEC],B.Tech,2023 Ranking,#180|  out of 246 in  |India 2023
645,Sri Manakula Vinayagar Engineering College - [SVMEC],B.Tech,2022 Ranking,#165|  out of 238 in  |India 2022
646,International Institute of Technology and Management - [IITM],No data found,No data found,No data found
647,Shobhit University,Overall,2024 Ranking,#63|  out of 73 in  |India 2024
647,Shobhit University,Overall,2023 Ranking,#57|  out of 69 in  |India 2023
648,Maharishi University of Information Technology - [MUIT],Overall,2024 Ranking,#122|  out of 160 in  |India 2024
648,Maharishi University of Information Technology - [MUIT],Overall,2023 Ranking,#129|  out of 171 in  |India 2023
648,Maharishi University of Information Technology - [MUIT],Overall,2022 Ranking,#115|  out of 161 in  |India 2022
649,Vidya Knowledge Park - [VKP],No data found,No data found,No data found
650,Jaypee University Anoopshahr,Overall,2024 Ranking,#95|  out of 160 in  |India 2024
650,Jaypee University Anoopshahr,Overall,2023 Ranking,#112|  out of 171 in  |India 2023
650,Jaypee University Anoopshahr,Overall,2022 Ranking,#131|  out of 161 in  |India 2022
651,St.Joseph University,Overall,2024 Ranking,#44|  out of 160 in  |India 2024
651,St.Joseph University,Overall,2022 Ranking,-
651,St.Joseph University,BCA,2024 Ranking,-
651,St.Joseph University,BCA,2022 Ranking,#90|  out of 100 in  |India 2022
652,Rishihood University,Design,2024 Ranking,#12|  out of 40 in  |India 2024
653,Sarala Birla University - [SBU],No data found,No data found,No data found
654,Radha Govind University - [RGU],No data found,No data found,No data found
655,Kavikulguru Institute of Technology and Science - [KITS],Architecture,2024 Ranking,#26|  out of 45 in  |India 2024
655,Kavikulguru Institute of Technology and Science - [KITS],Architecture,2023 Ranking,#13|  out of 44 in  |India 2023
655,Kavikulguru Institute of Technology and Science - [KITS],Architecture,2022 Ranking,#21|  out of 38 in  |India 2022
656,Stanley College of Engineering and Technology for Women - [SCETW],B.Tech,2024 Ranking,#159|  out of 245 in  |India 2024|#22nd in Hyderabad
656,Stanley College of Engineering and Technology for Women - [SCETW],B.Tech,2022 Ranking,#159|  out of 216 in  |India 2022|#17th in Hyderabad
656,Stanley College of Engineering and Technology for Women - [SCETW],B.Tech,2020 Ranking,#146|  out of 191 in  |India 2020|#16th in Hyderabad
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,Overall,2024 Ranking,-
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,Overall,2023 Ranking,#275|  out of 281 in  |India 2023|#21st in Andhra Pradesh
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,Overall,2022 Ranking,-
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,B.Tech,2024 Ranking,#275|  out of 284 in  |India 2024|#23rd in Andhra Pradesh
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,B.Tech,2023 Ranking,#240|  out of 246 in  |India 2023
657,Aditya Institute of Technology and Management -[AITAM] Tekkali,B.Tech,2022 Ranking,#233|  out of 238 in  |India 2022
658,Anand Engineering College - [AEC],No data found,No data found,No data found
659,Andhra Loyola Institute of Engineering - [ALIET],B.Tech,2020 Ranking,#253|  out of 254 in  |India 2020|#20th in Andhra Pradesh
660,Baba Banda Singh Bahadur Engineering College - [BBSBEC],No data found,No data found,No data found
661,Bangalore College of Engineering and Technology-[BCET],No data found,No data found,No data found
662,Bankura Unnayani Institute of Engineering - [BUIE],No data found,No data found,No data found
663,Chadalawada Ramanamma Engineering College - [CREC],No data found,No data found,No data found
664,Chettinad College of Engineering and Technology - [CCET],B.Tech,2021 Ranking,#69|  out of 100 in  |India 2021
664,Chettinad College of Engineering and Technology - [CCET],B.Tech,2020 Ranking,#50|  out of 110 in  |India 2020
665,"College of Engineering And Management, Kolaghat",No data found,No data found,No data found
666,DAV Institute of Engineering and Technology - [DAVIET],B.Tech,2022 Ranking,#74|  out of 238 in  |India 2022
666,DAV Institute of Engineering and Technology - [DAVIET],B.Tech,2021 Ranking,#66|  out of 218 in  |India 2021
666,DAV Institute of Engineering and Technology - [DAVIET],B.Tech,2020 Ranking,#100|  out of 254 in  |India 2020|#6th in Punjab
667,Dhanalakshmi Srinivasan Engineering College - [DSEC],B.Tech,2024 Ranking,#150|  out of 355 in  |Tamil Nadu 2024
668,Ellenki College of Engineering and Technology - [ECET],No data found,No data found,No data found
669,GKM College of Engineering and Technology - [GKMCET],Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
670,G L Bajaj Institute of Technology and Management,Overall,2024 Ranking,-
670,G L Bajaj Institute of Technology and Management,Overall,2023 Ranking,#61|  out of 281 in  |India 2023|#8th in Uttar Pradesh
670,G L Bajaj Institute of Technology and Management,Overall,2022 Ranking,-
670,G L Bajaj Institute of Technology and Management,B.Tech,2024 Ranking,#59|  out of 284 in  |India 2024|#9th in Uttar Pradesh
670,G L Bajaj Institute of Technology and Management,B.Tech,2023 Ranking,#32|  out of 246 in  |India 2023
670,G L Bajaj Institute of Technology and Management,B.Tech,2022 Ranking,#31|  out of 238 in  |India 2022
670,G L Bajaj Institute of Technology and Management,MBA,2024 Ranking,#172|  out of 275 in  |India 2024
670,G L Bajaj Institute of Technology and Management,MBA,2023 Ranking,#180|  out of 272 in  |India 2023|#18th in Uttar Pradesh
670,G L Bajaj Institute of Technology and Management,MBA,2022 Ranking,-
671,Karpagam Institute of Technology,B.Tech,2024 Ranking,#89|  out of 355 in  |Tamil Nadu 2024
672,Kongunadu College of Engineering and Technology - [KNCET],B.Tech,2024 Ranking,#146|  out of 175 in  |India 2024|#18th in Tamil Nadu
672,Kongunadu College of Engineering and Technology - [KNCET],B.Tech,2022 Ranking,#145|  out of 200 in  |India 2022|#23rd in Tamil Nadu
672,Kongunadu College of Engineering and Technology - [KNCET],B.Tech,2021 Ranking,#168|  out of 196 in  |India 2021|#24th in Tamil Nadu
673,MBM Engineering College - [MBM],No data found,No data found,No data found
674,Mookambigai College of Engineering,B.Tech,2024 Ranking,#190|  out of 355 in  |Tamil Nadu 2024
675,Ponjesly College of Engineering - [PCE],B.Tech,2024 Ranking,#131|  out of 355 in  |Tamil Nadu 2024
676,Rajadhani Institute of Engineering and Technology - [RIET] Attinga,Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
677,Ramachandra College of Engineering - [RCE],Overall,2024 Ranking,-
677,Ramachandra College of Engineering - [RCE],Overall,2023 Ranking,#276|  out of 281 in  |India 2023|#22nd in Andhra Pradesh
677,Ramachandra College of Engineering - [RCE],B.Tech,2024 Ranking,#284|  out of 284 in  |India 2024|#24th in Andhra Pradesh
677,Ramachandra College of Engineering - [RCE],B.Tech,2023 Ranking,#241|  out of 246 in  |India 2023
678,Roorkee Institute of Technology - [RIT],B.Tech,2020 Ranking,#167|  out of 254 in  |India 2020|#6th in Uttarakhand
678,Roorkee Institute of Technology - [RIT],B.Tech,2019 Ranking,-
678,Roorkee Institute of Technology - [RIT],MBA,2020 Ranking,#178|  out of 292 in  |India 2020|#7th in Uttarakhand
678,Roorkee Institute of Technology - [RIT],MBA,2019 Ranking,#167|  out of 284 in  |India 2019|#8th in Uttarakhand
679,SCMS School of Engineering and Technology [SSET],Overall,2023 Ranking,#121|  out of 281 in  |India 2023|#2nd in Kerala
679,SCMS School of Engineering and Technology [SSET],Overall,2022 Ranking,-
679,SCMS School of Engineering and Technology [SSET],Overall,2021 Ranking,-
679,SCMS School of Engineering and Technology [SSET],B.Tech,2023 Ranking,#90|  out of 246 in  |India 2023
679,SCMS School of Engineering and Technology [SSET],B.Tech,2022 Ranking,#80|  out of 238 in  |India 2022
679,SCMS School of Engineering and Technology [SSET],B.Tech,2021 Ranking,#70|  out of 218 in  |India 2021
680,SIES Graduate School of Technology - [SIES-GST],B.Tech,2024 Ranking,#48|  out of 175 in  |India 2024|#11th in Maharashtra
680,SIES Graduate School of Technology - [SIES-GST],B.Tech,2022 Ranking,#49|  out of 200 in  |India 2022|#12th in Maharashtra
681,SKN Sinhgad Institute of Technology and Science -[SKNSITS] Lonavala,No data found,No data found,No data found
682,Sapthagiri NPS University,Overall,2024 Ranking,#29|  out of 50 in  |India 2024
682,Sapthagiri NPS University,B.Tech,2024 Ranking,#49|  out of 160 in  |India 2024
683,Saroj Institute of Technology and Management - [SITM],No data found,No data found,No data found
684,Sasurie College of Engineering - [SCE],B.Tech,2024 Ranking,#323|  out of 355 in  |Tamil Nadu 2024
685,Selvam College of Technology - [SCT],B.Tech,2024 Ranking,#214|  out of 355 in  |Tamil Nadu 2024
686,Shivalik College of Engineering - [SCE],B.Tech,2021 Ranking,#182|  out of 218 in  |India 2021
686,Shivalik College of Engineering - [SCE],B.Tech,2020 Ranking,#201|  out of 254 in  |India 2020|#8th in Uttarakhand
687,Silver Oak College of Engineering and Technology - [SOCET],No data found,No data found,No data found
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,B.Tech,2024 Ranking,#144|  out of 160 in  |India 2024
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,B.Tech,2022 Ranking,#125-160|  out of 160 in  |India 2022
688,Sinhgad College of Engineering - [SCOE] Vadgaon Ambegaon,B.Tech,2020 Ranking,#102|  out of 110 in  |India 2020
689,Sree Buddha College of Engineering Pattoor - [SBCE],No data found,No data found,No data found
690,Sree Narayana Gurukulam College of Engineering - [SNGCE],No data found,No data found,No data found
691,Sree Sastha Institute of Engineering and Technology,B.Tech,2024 Ranking,#223|  out of 355 in  |Tamil Nadu 2024
692,Sri Siddhartha Institute of Technology - [SSIT],B.Tech,2024 Ranking,#29|  out of 160 in  |India 2024
693,Tamilnadu College of Engineering - [TNCE],B.Tech,2024 Ranking,#215|  out of 355 in  |Tamil Nadu 2024
694,Thangavelu Engineering College,B.Tech,2024 Ranking,#103|  out of 173 in  |India 2024
694,Thangavelu Engineering College,B.Tech,2023 Ranking,#96|  out of 166 in  |India 2023
694,Thangavelu Engineering College,B.Tech,2022 Ranking,#45|  out of 173 in  |India 2022
695,Hyderabad Institute of Technology and Management - [HITAM],B.Tech,2024 Ranking,#59|  out of 173 in  |India 2024
696,Vemu Institute of Technology - [VEMU],B.Tech,2024 Ranking,#161|  out of 245 in  |India 2024|#19th in Andhra Pradesh
696,Vemu Institute of Technology - [VEMU],B.Tech,2022 Ranking,#187|  out of 216 in  |India 2022|#15th in Andhra Pradesh
696,Vemu Institute of Technology - [VEMU],B.Tech,2020 Ranking,#175|  out of 191 in  |India 2020|#17th in Andhra Pradesh
697,Kalaignar karunanidhi Institute of Technology - [KIT],Overall,2024 Ranking,-
697,Kalaignar karunanidhi Institute of Technology - [KIT],Overall,2023 Ranking,#187|  out of 281 in  |India 2023|#23rd in Tamil Nadu
697,Kalaignar karunanidhi Institute of Technology - [KIT],Overall,2022 Ranking,-
697,Kalaignar karunanidhi Institute of Technology - [KIT],B.Tech,2024 Ranking,-
697,Kalaignar karunanidhi Institute of Technology - [KIT],B.Tech,2023 Ranking,#155|  out of 246 in  |India 2023
697,Kalaignar karunanidhi Institute of Technology - [KIT],B.Tech,2022 Ranking,-
697,Kalaignar karunanidhi Institute of Technology - [KIT],MBA,2024 Ranking,#163|  out of 275 in  |India 2024
697,Kalaignar karunanidhi Institute of Technology - [KIT],MBA,2023 Ranking,#175|  out of 272 in  |India 2023
697,Kalaignar karunanidhi Institute of Technology - [KIT],MBA,2022 Ranking,#176|  out of 281 in  |India 2022
698,Patel College of Science and Technology - [PCST],No data found,No data found,No data found
699,Career Point University - [CPU],No data found,No data found,No data found
700,Sri Sai University - [SSU],Overall,2024 Ranking,#130|  out of 160 in  |India 2024
700,Sri Sai University - [SSU],Overall,2023 Ranking,#138|  out of 171 in  |India 2023
700,Sri Sai University - [SSU],Overall,2022 Ranking,#122|  out of 161 in  |India 2022
701,Sri Guru Granth Sahib World University - [SGGSWU],B.Tech,2022 Ranking,#251-300|  out of 300 in  |India 2022|#8th in Punjab
702,Sir Padampat Singhania University - [SPSU],MBA,2023 Ranking,#169|  out of 272 in  |India 2023|#9th in Rajasthan
702,Sir Padampat Singhania University - [SPSU],MBA,2022 Ranking,#177|  out of 281 in  |India 2022
703,Vinayaka Missions University - [VMU],Overall,2024 Ranking,#32|  out of 73 in  |India 2024
703,Vinayaka Missions University - [VMU],Overall,2023 Ranking,#36|  out of 69 in  |India 2023
704,Jyothy Institute of Technology - [JIT],B.Tech,2020 Ranking,#251|  out of 300 in  |India 2020|#14th in Bangalore
705,College of Engineering Perumon,No data found,No data found,No data found
706,Sreyas Institute of Engineering and Technology - [SIET],B.Tech,2024 Ranking,#95|  out of 175 in  |India 2024|#11th in Hyderabad
706,Sreyas Institute of Engineering and Technology - [SIET],B.Tech,2022 Ranking,#118|  out of 200 in  |India 2022|#11th in Hyderabad
706,Sreyas Institute of Engineering and Technology - [SIET],B.Tech,2021 Ranking,#128|  out of 196 in  |India 2021|#13th in Hyderabad
707,Delhi Institute of Tool Engineering - [DITE],No data found,No data found,No data found
708,K. C. College of Engineering And Management Studies And Research,No data found,No data found,No data found
709,Vi Institute of Technology - [VIIT],No data found,No data found,No data found
710,Birla Institute of Technology Extension Centre - [BIT],Overall,2020 Ranking,#26-50|  out of 50 in  |India 2020
711,A. P. Shah Institute of Technology - [APSIT],No data found,No data found,No data found
712,Vidyavardhini's College of Engineering and Technology - [VCET],No data found,No data found,No data found
713,Vimal Jyothi Engineering College - [VJEC],No data found,No data found,No data found
714,K. Ramakrishnan College of Engineering -[KRCE],Overall,2024 Ranking,-
714,K. Ramakrishnan College of Engineering -[KRCE],Overall,2023 Ranking,#188|  out of 281 in  |India 2023|#24th in Tamil Nadu
714,K. Ramakrishnan College of Engineering -[KRCE],Overall,2022 Ranking,-
714,K. Ramakrishnan College of Engineering -[KRCE],B.Tech,2024 Ranking,#198|  out of 284 in  |India 2024|#26th in Tamil Nadu
714,K. Ramakrishnan College of Engineering -[KRCE],B.Tech,2023 Ranking,#156|  out of 246 in  |India 2023
714,K. Ramakrishnan College of Engineering -[KRCE],B.Tech,2022 Ranking,#164|  out of 238 in  |India 2022
715,Ganga Technical Campus - [GTC],B.Tech,2021 Ranking,#93|  out of 196 in  |India 2021|#7th in Haryana
716,Pratap University - [PU],No data found,No data found,No data found
717,Girijananda Chowdhury Institute of Management & Technology - [GIMT],MBA,2025 Ranking,#134|  out of 200 in  |India 2025
717,Girijananda Chowdhury Institute of Management & Technology - [GIMT],MBA,2024 Ranking,#138|  out of 200 in  |India 2024
717,Girijananda Chowdhury Institute of Management & Technology - [GIMT],MBA,2023 Ranking,#141|  out of 200 in  |India 2023
718,"GIET Engineering College, Rajahmundhry",B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#7th in Andhra Pradesh
719,"GIET College of Engineering, Rajahmundhry",No data found,No data found,No data found
720,Babu Banarasi Das Northern India Institute of Technology - [BBDNIIT],No data found,No data found,No data found
721,Narsimha Reddy Engineering College - [NRCM],B.Tech,2020 Ranking,#143|  out of 162 in  |India 2020|#21st in Telangana
722,KGISL Institute of Technology - [KITE],B.Tech,2024 Ranking,#101|  out of 355 in  |Tamil Nadu 2024
723,Jai Parkash Mukand Lal Innovative Engineering & Technology Institute - [JMIETI],No data found,No data found,No data found
724,SAL College of Engineering - [SCE],No data found,No data found,No data found
725,OP Jindal University - [OPJU],B.Tech,2024 Ranking,#105|  out of 284 in  |India 2024|#2nd in Chhattisgarh
726,Rajkiya Engineering College - [REC],B.Tech,2024 Ranking,#68|  out of 160 in  |India 2024
726,Rajkiya Engineering College - [REC],B.Tech,2023 Ranking,#59|  out of 170 in  |India 2023
726,Rajkiya Engineering College - [REC],B.Tech,2022 Ranking,#41|  out of 192 in  |India 2022
727,Gopal Narayan Singh University - [GNSU],B.Tech,2024 Ranking,-
727,Gopal Narayan Singh University - [GNSU],B.Tech,2023 Ranking,#134|  out of 160 in  |India 2023
727,Gopal Narayan Singh University - [GNSU],Medical,2024 Ranking,#27|  out of 28 in  |India 2024
727,Gopal Narayan Singh University - [GNSU],Medical,2023 Ranking,#30|  out of 30 in  |India 2023
727,Gopal Narayan Singh University - [GNSU],BBA/BMS,2024 Ranking,#129|  out of 130 in  |India 2024
727,Gopal Narayan Singh University - [GNSU],BBA/BMS,2023 Ranking,#129|  out of 130 in  |India 2023
728,Shyam University,No data found,No data found,No data found
729,KIPM College of Engineering and Technology - [KIPM],No data found,No data found,No data found
730,Chalapathi Institute of Engineering and Technology - [CIET],B.Tech,2024 Ranking,#159|  out of 175 in  |India 2024|#7th in Andhra Pradesh
730,Chalapathi Institute of Engineering and Technology - [CIET],B.Tech,2023 Ranking,#107|  out of 170 in  |India 2023|#7th in Andhra Pradesh
730,Chalapathi Institute of Engineering and Technology - [CIET],B.Tech,2022 Ranking,#139|  out of 200 in  |India 2022|#8th in Andhra Pradesh
731,KKR & KSR Institute of Technology and Sciences - [KITS],B.Tech,2022 Ranking,#170|  out of 200 in  |India 2022|#13th in Andhra Pradesh
732,Kallam Haranadhareddy Institute of Technology - [KHIT],No data found,No data found,No data found
733,Vikrant University,B.Tech,2024 Ranking,#94|  out of 173 in  |India 2024
734,JIS University,MBA,2023 Ranking,#240|  out of 272 in  |India 2023|#9th in Kolkata
735,Renaissance University - [RU],No data found,No data found,No data found
736,OmDayal Group of Institutions,B.Tech,2021 Ranking,#106|  out of 196 in  |India 2021|#6th in Kolkata
736,OmDayal Group of Institutions,B.Tech,2020 Ranking,#117|  out of 162 in  |India 2020|#6th in Kolkata
737,A.V.C College of Engineering - [AVCCE],B.Tech,2024 Ranking,#79|  out of 355 in  |Tamil Nadu 2024
738,AWH Engineering College,B.Tech,2024 Ranking,#277|  out of 284 in  |India 2024|#3rd in Kerala
739,Aarupadai Veedu Institute of Technology - [AVIT],B.Tech,2024 Ranking,#58|  out of 173 in  |India 2024
740,Abacus Institute of Engineering and Management,B.Tech,2024 Ranking,#245|  out of 245 in  |India 2024|#14th in West Bengal
741,Akshaya College of Engineering and Technology-[ACET],B.Tech,2024 Ranking,#167|  out of 355 in  |Tamil Nadu 2024
742,Al Ameen Engineering College,B.Tech,2024 Ranking,#292|  out of 355 in  |Tamil Nadu 2024
743,Rajadhani Institute of Science and Technology - [RIST],No data found,No data found,No data found
744,Amrutvahini College of Engineering - [AVCOE],B.Tech,2021 Ranking,#210|  out of 218 in  |India 2021
745,Arasu Engineering College - [AEC],B.Tech,2024 Ranking,#262|  out of 355 in  |Tamil Nadu 2024
746,Arya College of Engineering and IT - [ACEIT],B.Tech,2024 Ranking,#162|  out of 173 in  |India 2024
747,Bapuji Institute of Engineering and Technology - [BIET],B.Tech,2024 Ranking,#90|  out of 173 in  |India 2024
747,Bapuji Institute of Engineering and Technology - [BIET],B.Tech,2023 Ranking,#74|  out of 166 in  |India 2023
747,Bapuji Institute of Engineering and Technology - [BIET],B.Tech,2022 Ranking,#61|  out of 173 in  |India 2022
748,Cape Institute of Technology - [CAPE],B.Tech,2024 Ranking,#258|  out of 355 in  |Tamil Nadu 2024
749,Dhanalakshmi College of Engineering - [DCE],B.Tech,2024 Ranking,#142|  out of 355 in  |Tamil Nadu 2024
750,Dhirajlal Gandhi College of Technology,B.Tech,2024 Ranking,#123|  out of 355 in  |Tamil Nadu 2024
751,Dronacharya College of Engineering - [DCE],Overall,2020 Ranking,#6-25|  out of 50 in  |India 2020
752,EGS Pillay Engineering College,B.Tech,2024 Ranking,#201-300|  out of 300 in  |India 2024|#17th in Tamil Nadu
752,EGS Pillay Engineering College,B.Tech,2022 Ranking,#251-300|  out of 300 in  |India 2022|#37th in Tamil Nadu
753,Einstein College of Engineering,B.Tech,2024 Ranking,#219|  out of 355 in  |Tamil Nadu 2024
754,Eswar College of Engineering,No data found,No data found,No data found
755,G Narayanamma Institute of Technology and Science - [GNITS],B.Tech,2022 Ranking,#251-300|  out of 300 in  |India 2022|#13th in Hyderabad
756,Ghousia College of Engineering - [GCE],No data found,No data found,No data found
757,Global Institute of Engineering and Technology - [GIT],B.Tech,2024 Ranking,#228|  out of 355 in  |Tamil Nadu 2024
758,Gopalan College of Engineering and Management - [GCEM],B.Tech,2024 Ranking,#202|  out of 245 in  |India 2024|#21st in Bangalore
759,Green Hills Engineering College,No data found,No data found,No data found
760,Hasmukh Goswami College of Engineering - [HGCE],No data found,No data found,No data found
761,Hindusthan Institute of Technology - [HITECH],Overall,2024 Ranking,-
761,Hindusthan Institute of Technology - [HITECH],Overall,2023 Ranking,#165|  out of 281 in  |India 2023|#21st in Tamil Nadu
761,Hindusthan Institute of Technology - [HITECH],Overall,2022 Ranking,-
761,Hindusthan Institute of Technology - [HITECH],B.Tech,2024 Ranking,#171|  out of 284 in  |India 2024|#21st in Tamil Nadu
761,Hindusthan Institute of Technology - [HITECH],B.Tech,2023 Ranking,#133|  out of 246 in  |India 2023
761,Hindusthan Institute of Technology - [HITECH],B.Tech,2022 Ranking,#119|  out of 238 in  |India 2022
761,Hindusthan Institute of Technology - [HITECH],MBA,2024 Ranking,#210|  out of 275 in  |India 2024|#67th in Tamil Nadu
761,Hindusthan Institute of Technology - [HITECH],MBA,2023 Ranking,#210|  out of 272 in  |India 2023
761,Hindusthan Institute of Technology - [HITECH],MBA,2022 Ranking,#219|  out of 281 in  |India 2022|#61st in Tamil Nadu
762,Institute of Engineering and Technology - [IETR],No data found,No data found,No data found
763,KG Reddy College of Engineering and Technology - [KGRCET],Overall,2024 Ranking,-
763,KG Reddy College of Engineering and Technology - [KGRCET],Overall,2023 Ranking,#148|  out of 281 in  |India 2023|#10th in Hyderabad
763,KG Reddy College of Engineering and Technology - [KGRCET],Overall,2022 Ranking,-
763,KG Reddy College of Engineering and Technology - [KGRCET],B.Tech,2024 Ranking,#148|  out of 284 in  |India 2024|#11th in Hyderabad
763,KG Reddy College of Engineering and Technology - [KGRCET],B.Tech,2023 Ranking,#116|  out of 246 in  |India 2023
763,KG Reddy College of Engineering and Technology - [KGRCET],B.Tech,2022 Ranking,#116|  out of 238 in  |India 2022
764,KLN College of Information Technology - [KLNCIT],No data found,No data found,No data found
765,KNS Institute of Technology - [KNSIT],No data found,No data found,No data found
766,KCC Institute of Technology and Management - [KCCITM],No data found,No data found,No data found
767,Lakhmi Chand Institute of Technology - [LCIT],No data found,No data found,No data found
768,Lendi Institute of Engineering and Technology,B.Tech,2023 Ranking,#151|  out of 170 in  |India 2023|#12th in Andhra Pradesh
768,Lendi Institute of Engineering and Technology,B.Tech,2022 Ranking,#156|  out of 200 in  |India 2022|#10th in Andhra Pradesh
